958454033,01/02/2023 02:33:00 AM,STR CLEAN,2365 MARKET ST San Francisco CA, POINT(-122.43433996499999 37.76316422200006)
958586521,01/02/2023 02:33:00 AM,STR CLEAN,2330 MARKET ST San Francisco CA, POINT(-122.43380776299995 37.76375910300004)
PD36979880,01/02/2023 02:50:00 AM,ON SIDEWLK,875 BURNETT San Francisco CA, POINT(-122.44495046799994 37.74893408200006)
958483982,01/02/2023 04:02:00 AM,STR CLEAN,369 BROADWAY San Francisco CA, POINT(-122.40335650999998 37.79828428800005)
958292576,01/02/2023 04:05:00 AM,STR CLEAN,211 BROADWAY San Francisco CA, POINT(-122.40124407799999 37.798552235000045)
958586532,01/02/2023 04:16:00 AM,STR CLEAN,14 OTIS ST San Francisco CA, POINT(-122.41915745699998 37.77271937000006)
958292580,01/02/2023 04:18:00 AM,STR CLEAN,444 COLUMBUS AVE San Francisco CA, POINT(-122.40838692199998 37.79906571500004)
958292591,01/02/2023 04:20:00 AM,STR CLEAN,644 BROADWAY San Francisco CA, POINT(-122.40774802699997 37.797740721000025)
960339962,02/27/2023 01:04:00 PM,STR CLEAN,500 DELTA ST San Francisco CA, POINT(-122.40922063699998 37.713747656000066)
960090316,02/27/2023 01:04:00 PM,STR CLEAN,1189 REVERE AVE San Francisco CA, POINT(-122.38256193099994 37.72735092900007)
960249861,02/27/2023 01:04:00 PM,DBL PARK,1241 SUTTER ST San Francisco CA, POINT(-122.42073292699996 37.78767289800004)
960265692,02/27/2023 01:04:00 PM,STR CLEAN,2389 48TH AVE San Francisco CA, POINT(-122.506853493 37.742702792000046)
960191470,02/27/2023 01:05:00 PM,RES/OT,301 ARBALLO DR San Francisco CA, POINT(-122.48298417399997 37.72091768400003)
960084694,02/27/2023 01:05:00 PM,MTR OUT DT,293 23RD AVE San Francisco CA, POINT(-122.48275849899994 37.782369352000046)
959747305,02/27/2023 01:05:00 PM,RES/OT,2308 WEBSTER ST San Francisco CA, POINT(-122.43275822599998 37.79193309800007)
960325590,02/27/2023 01:05:00 PM,OVR 18 " C,1121 BUSH ST San Francisco CA, POINT(-122.41573500099997 37.789270792000025)
960235080,02/27/2023 01:05:00 PM,STR CLEAN,2318 GREAT HWY San Francisco CA, POINT(-122.50712603 37.74310318000005)
960254820,02/27/2023 01:05:00 PM,PRK GRADE,1492 CALIFORNIA ST San Francisco CA, POINT(-122.41881989499996 37.79081816200005)
960354415,02/27/2023 01:05:00 PM,STR CLEAN,2 LAKE ST San Francisco CA, POINT(-122.45936851699997 37.78691889500004)
960153165,02/27/2023 01:06:00 PM,STR CLEAN,212 LAKE ST San Francisco CA, POINT(-122.46166410799998 37.78681353400003)
960236690,02/27/2023 01:06:00 PM,METER DTN,203 PACIFIC AVE San Francisco CA, POINT(-122.39979655899998 37.797786905000066)
960243631,02/27/2023 01:06:00 PM,STR CLEAN,220 LAKE ST San Francisco CA, POINT(-122.46173650399999 37.78681029300003)
960166325,02/27/2023 01:06:00 PM,STR CLEAN,198 LAKE ST San Francisco CA, POINT(-122.46138414199999 37.78682643500008)
960354426,02/27/2023 01:06:00 PM,STR CLEAN,240 LAKE ST San Francisco CA, POINT(-122.46191749599996 37.78680218900007)
959117025,02/27/2023 01:06:00 PM,PRK PROHIB,65 MINNA ST San Francisco CA, POINT(-122.39878984699999 37.78793951100005)
960274464,02/27/2023 01:06:00 PM,OBSTRCT TF,2712 MISSION STREET San Francisco CA, POINT(-122.41857253299997 37.75354540300003)
960265703,02/27/2023 01:06:00 PM,STR CLEAN,2038 GREAT HWY San Francisco CA, POINT(-122.50783244899998 37.748358076000045)
959954730,02/27/2023 01:07:00 PM,DBL PARK,1351 FOLSOM ST San Francisco CA, POINT(-122.41230302599996 37.77321393600005)
960183674,02/27/2023 01:07:00 PM,RES/OT,2600 CLAY ST San Francisco CA, POINT(-122.43597912399997 37.79049170900004)
